tick,flight_id,origin,destination,phase,altitude,delay
1,FL005,KEUG,KTTD,Queued,0,1
1,FL006,KRNT,KTTD,Queued,0,1
1,FL007,KEUG,KTTD,Queued,0,1
1,FL008,KBOI,KTTD,Takeoff,0,0
1,FL009,KBFI,KPDX,Takeoff,0,0
1,FL010,KRNT,KBOI,Queued,0,1
1,FL011,KTTD,KPDX,Takeoff,0,0
2,FL000,KRNT,KBFI,Takeoff,500,0
2,FL001,KPAE,KGEG,Takeoff,500,0
2,FL002,KOLM,KSEA,Takeoff,500,0
2,FL003,KEUG,KSEA,Takeoff,500,0
2,FL004,KSEA,KEUG,Takeoff,500,0
2,FL005,KEUG,KTTD,Queued,0,2
2,FL006,KRNT,KTTD,Queued,0,2
2,FL007,KEUG,KTTD,Queued,0,2
2,FL008,KBOI,KTTD,Takeoff,500,0
2,FL009,KBFI,KPDX,Takeoff,500,0
2,FL010,KRNT,KBOI,Queued,0,2
2,FL011,KTTD,KPDX,Takeoff,500,0
3,FL000,KRNT,KBFI,Takeoff,500,0
3,FL001,KPAE,KGEG,Takeoff,500,0
3,FL002,KOLM,KSEA,Takeoff,500,0
3,FL003,KEUG,KSEA,Takeoff,500,0
3,FL004,KSEA,KEUG,Takeoff,500,0
3,FL005,KEUG,KTTD,Takeoff,0,2
3,FL006,KRNT,KTTD,Takeoff,0,2
3,FL007,KEUG,KTTD,Queued,0,3
3,FL008,KBOI,KTTD,Takeoff,500,0
3,FL009,KBFI,KPDX,Takeoff,500,0
3,FL010,KRNT,KBOI,Queued,0,3
3,FL011,KTTD,KPDX,Takeoff,500,0
4,FL000,KRNT,KBFI,Takeoff,500,0
4,FL001,KPAE,KGEG,Takeoff,500,0
4,FL002,KOLM,KSEA,Takeoff,500,0
4,FL003,KEUG,KSEA,Takeoff,500,0
4,FL004,KSEA,KEUG,Initial_Climb,3000,0
4,FL005,KEUG,KTTD,Takeoff,500,2
4,FL006,KRNT,KTTD,Takeoff,500,2
4,FL007,KEUG,KTTD,Queued,0,4
4,FL008,KBOI,KTTD,Takeoff,500,0
4,FL009,KBFI,KPDX,Takeoff,500,0
4,FL010,KRNT,KBOI,Queued,0,4
4,FL011,KTTD,KPDX,Takeoff,500,0
